,HMD,task,subID,type,path,max_lum_roc,max_lum_frame,max_lum_time(s),min_lum_roc,min_lum_frame,min_lum_time(s)
74,varjo,cereal,P23,full,/data/AMPs/second-round/avg-lum-per-frame/P23_cereal_varjo_P23_cereal_2022-02-11_14-23-20-032.csv,0.9312977099236641,314.0,10.46665654889867,-0.551433389544688,201.0,6.699993523339594
75,varjo,cereal,P23,merged,/data/AMPs/second-round/avg-lum-per-frame/P23_cereal_varjo_P23_cereal_2_merged_varjo.csv,0.526829268292683,290.0,9.676333323657,-0.5088105726872247,177.0,5.9058999940941
76,varjo,cereal,P19,full,/data/AMPs/second-round/avg-lum-per-frame/P19_cereal_varjo_P19_cereal_2022-02-11_11-06-31-382.csv,0.9841269841269842,273.0,9.099991203341837,-0.6946902654867257,174.0,5.7999943933387526
77,varjo,cereal,P19,merged,/data/AMPs/second-round/avg-lum-per-frame/P19_cereal_varjo_P19_cereal_2_merged_varjo.csv,0.5677570093457944,184.0,6.1394666605272,-0.5905707196029777,85.0,2.8361666638305
78,varjo,cereal,P2,full,/data/AMPs/second-round/avg-lum-per-frame/P2_cereal_varjo_P2_cereal_2022-02-04_14-38-42-103.csv,1.2787610619469025,239.0,7.966658965563,-0.4736842105263158,193.0,6.433327114450456
79,varjo,cereal,P2,merged,/data/AMPs/second-round/avg-lum-per-frame/P2_cereal_varjo_P2_cereal_2_merged_varjo.csv,0.8416666666666666,222.0,7.4073999925926,-0.5145228215767634,220.0,7.340666659326
80,varjo,cereal,P9,full,/data/AMPs/second-round/avg-lum-per-frame/P9_cereal_varjo_P9_cereal_2022-02-04_10-26-52-492.csv,2.1176470588235294,328.0,10.93332276445466,-0.5721518987341772,210.0,6.999993233339874
81,varjo,cereal,P9,merged,/data/AMPs/second-round/avg-lum-per-frame/P9_cereal_varjo_P9_cereal_2_merged_varjo.csv,0.7765957446808511,156.0,5.2051999947948,-1.0,3606.0,120.32019987967979
82,varjo,cereal,P18,full,/data/AMPs/second-round/avg-lum-per-frame/P18_cereal_varjo_P18_cereal_2022-02-15_10-38-48-194.csv,0.763157894736842,371.0,12.366654712233778,-0.4551282051282052,329.0,10.966656065565802
83,varjo,cereal,P18,merged,/data/AMPs/second-round/avg-lum-per-frame/P18_cereal_varjo_P18_cereal_2_merged_varjo.csv,0.5586854460093897,263.0,8.7754333245579,-0.37396694214876036,221.0,7.374033325959299
84,varjo,cereal,P21,full,/data/AMPs/second-round/avg-lum-per-frame/P21_cereal_varjo_P21_cereal_2022-02-14_14-16-50-351.csv,1.5,930.0,30.9999700333623,-0.5910224438902743,890.0,29.66663798891661
85,varjo,cereal,P21,merged,/data/AMPs/second-round/avg-lum-per-frame/P21_cereal_varjo_P21_cereal_2_merged_varjo.csv,1.141891891891892,182.0,6.0727333272605994,-0.6484560570071258,181.0,6.0393666606273
86,varjo,cereal,P22,full,/data/AMPs/second-round/avg-lum-per-frame/P22_cereal_varjo_P22_cereal_2022-02-08_14-08-32-700.csv,3.6966292134831464,425.0,14.16665297223546,-0.8455497382198953,334.0,11.133322571121514
87,varjo,cereal,P22,merged,/data/AMPs/second-round/avg-lum-per-frame/P22_cereal_varjo_P22_cereal_2_merged_varjo.csv,0.3581780538302277,360.0,12.011999987988,-0.38394793926247284,269.0,8.9756333243577
88,varjo,cereal,P5,full,/data/AMPs/second-round/avg-lum-per-frame/P5_cereal_varjo_P5_cereal_2022-02-08_10-22-45-519.csv,3.878787878787879,200.0,6.666660222228452,-0.4823151125401929,121.0,4.033329434448214
89,varjo,cereal,P5,merged,/data/AMPs/second-round/avg-lum-per-frame/P5_cereal_varjo_P5_cereal_2_merged_varjo.csv,0.5557851239669422,182.0,6.0727333272605994,-0.5082644628099173,104.0,3.4701333298632
90,varjo,cereal,P16,full,/data/AMPs/second-round/avg-lum-per-frame/P16_cereal_varjo_P16_cereal_2022-02-02_10-48-46-081.csv,0.5181159420289856,137.0,4.5666622522264895,-0.4442307692307692,95.0,3.1666636055585147
91,varjo,cereal,P16,merged,/data/AMPs/second-round/avg-lum-per-frame/P16_cereal_varjo_P16_cereal_2_merged_2022-02-02_10-48-46-081.csv,0.5324947589098532,170.0,5.672333327661,-1.0,6820.0,227.560666439106
92,varjo,cereal,P4,full,/data/AMPs/second-round/avg-lum-per-frame/P4_cereal_varjo_P4_cereal_2022-02-14_10-11-48-204.csv,0.4577464788732395,228.0,7.5999926533404345,-0.33577981651376143,186.0,6.19999400667246
93,varjo,cereal,P4,merged,/data/AMPs/second-round/avg-lum-per-frame/P4_cereal_varjo_P4_cereal_2_merged_varjo.csv,0.6796116504854368,191.0,6.3730333269603,-0.4345991561181435,189.0,6.3062999936937
94,varjo,cereal,P13,full,/data/AMPs/second-round/avg-lum-per-frame/P13_cereal_varjo_P13_cereal_2022-02-07_11-49-49-595.csv,0.6403785488958991,137.0,4.5666622522264895,-0.6003976143141153,92.0,3.0666637022250876
95,varjo,cereal,P13,merged,/data/AMPs/second-round/avg-lum-per-frame/P13_cereal_varjo_P13_cereal_2_merged_varjo.csv,0.35084033613445387,142.0,4.7380666619286,-0.4189473684210526,97.0,3.2365666634301
96,varjo,cereal,P25,full,/data/AMPs/second-round/avg-lum-per-frame/P25_cereal_varjo_P25_cereal_2022-02-09_11-13-19-240.csv,8.619718309859154,194.0,6.466660415561598,-0.8950354609929078,147.0,4.899995263337912
97,varjo,cereal,P25,merged,/data/AMPs/second-round/avg-lum-per-frame/P25_cereal_varjo_P25_cereal_2_merged_varjo.csv,0.3821292775665399,200.0,6.67333332666,-0.5273972602739726,153.0,5.1050999948949
98,varjo,cereal,P24,full,/data/AMPs/second-round/avg-lum-per-frame/P24_cereal_varjo_P24_cereal_2022-02-16_10-09-08-765.csv,0.9570815450643777,293.0,9.766657225564682,-0.5674418604651164,228.0,7.5999926533404345
99,varjo,cereal,P24,merged,/data/AMPs/second-round/avg-lum-per-frame/P24_cereal_varjo_P24_cereal_2_merged_varjo.csv,1.2440944881889764,137.0,4.5712333287621,-0.7107061503416856,136.0,4.5378666621288
100,varjo,cereal,P15,full,/data/AMPs/second-round/avg-lum-per-frame/P15_cereal_varjo_P15_cereal_2022-02-15_14-28-38-447.csv,1.1379310344827585,138.0,4.5999955533376315,-0.6525096525096525,99.0,3.2999968100030834
101,varjo,cereal,P15,merged,/data/AMPs/second-round/avg-lum-per-frame/P15_cereal_varjo_P15_cereal_2_merged_varjo.csv,0.5249406175771971,217.0,7.2405666594261,-0.4051172707889126,178.0,5.9392666607274
102,varjo,cereal,P3,full,/data/AMPs/second-round/avg-lum-per-frame/P3_cereal_varjo_P3_cereal_2022-02-10_10-38-06-418.csv,0.48344370860927155,341.0,11.36665567889951,-0.3215130023640662,300.0,9.999990333342677
103,varjo,cereal,P3,merged,/data/AMPs/second-round/avg-lum-per-frame/P3_cereal_varjo_P3_cereal_2_merged_varjo.csv,0.3764044943820224,270.0,9.008999990990999,-0.5058548009367682,229.0,7.6409666590256995
104,varjo,cereal,P6,full,/data/AMPs/second-round/avg-lum-per-frame/P6_cereal_varjo_P6_cereal_2022-02-10_15-06-06-750.csv,1.4308510638297873,279.0,9.29999101000869,-0.55,226.0,7.53332605111815
105,varjo,cereal,P6,merged,/data/AMPs/second-round/avg-lum-per-frame/P6_cereal_varjo_P6_cereal_2_merged_varjo.csv,0.3310657596371882,269.0,8.9756333243577,-1.0,3246.0,108.3081998916918
106,varjo,cereal,P10,full,/data/AMPs/second-round/avg-lum-per-frame/P10_cereal_varjo_P10_cereal_2022-01-31_13-58-57-031.csv,6.352941176470588,55.0,1.8333315611128242,-0.45270270270270274,3735.0,124.49987965011633
107,varjo,cereal,P10,merged,/data/AMPs/second-round/avg-lum-per-frame/P10_cereal_varjo_P10_cereal_2_merged_varjo.csv,0.40222222222222226,190.0,6.3396666603269995,-1.0,4538.0,151.4179331819154
108,varjo,sandwich,P22,full,/data/AMPs/second-round/avg-lum-per-frame/P22_sandwich_varjo_P22_sandwich_2022-02-08_13-53-20-596.csv,4.161764705882353,461.0,15.366651812236581,-0.7541371158392435,354.0,11.79998859334436
109,varjo,sandwich,P22,merged,/data/AMPs/second-round/avg-lum-per-frame/P22_sandwich_varjo_P22_sandwich_2_merged.csv,0.31403118040089084,268.0,8.9422666577244,-0.3044619422572179,162.0,5.4053999945946
110,varjo,sandwich,P16,full,/data/AMPs/second-round/avg-lum-per-frame/P16_sandwich_varjo_P16_sandwich_2022-02-02_10-32-11-583.csv,0.6860465116279071,136.0,4.533328951115347,-0.47608695652173916,90.0,2.9999971000028034
111,varjo,sandwich,P16,merged,/data/AMPs/second-round/avg-lum-per-frame/P16_sandwich_varjo_P16_sandwich_2_merged__2022-02-02_10-32-11-583.csv,0.6642857142857144,149.0,4.971633328361699,-1.0,23219.0,774.7406325585927
112,varjo,sandwich,P8,full,/data/AMPs/second-round/avg-lum-per-frame/P8_sandwich_varjo_P8_sandwich_2022-02-03_10-25-22-332.csv,inf,14188.0,472.93287616488635,-1.0,14178.0,472.5995431537749
113,varjo,sandwich,P8,merged,/data/AMPs/second-round/avg-lum-per-frame/P8_sandwich_varjo_P8_sandwich_2_merged_2022-02-03_10-25-22-332.csv,0.6461187214611872,306.0,10.2101999897898,-1.0,19669.0,656.2889660103776
114,varjo,sandwich,P4,full,/data/AMPs/second-round/avg-lum-per-frame/P4_sandwich_varjo_P4_sandwich_2022-02-14_10-02-25-490.csv,0.5837563451776651,481.0,16.033317834459424,-0.6120689655172413,424.0,14.133319671124317
115,varjo,sandwich,P4,merged,/data/AMPs/second-round/avg-lum-per-frame/P4_sandwich_varjo_P4_sandwich_2_merged_varjo.csv,0.6231884057971016,239.0,7.9746333253587,-0.49783549783549785,237.0,7.9078999920921
116,varjo,sandwich,P13,full,/data/AMPs/second-round/avg-lum-per-frame/P13_sandwich_varjo_P13_sandwich_2022-02-07_11-37-59-818.csv,0.7046979865771812,170.0,5.666661188894184,-0.6065573770491803,121.0,4.033329434448214
117,varjo,sandwich,P13,merged,/data/AMPs/second-round/avg-lum-per-frame/P13_sandwich_varjo_P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.csv,0.4021978021978021,219.0,7.3072999926927,-1.0,14963.0,499.2654328340679
118,varjo,sandwich,P23,full,/data/AMPs/second-round/avg-lum-per-frame/P23_sandwich_varjo_P23_sandwich_2022-02-11_14-05-06-946.csv,1.6527777777777777,305.0,10.166656838898389,-0.6076388888888888,256.0,8.533325084452418
119,varjo,sandwich,P23,merged,/data/AMPs/second-round/avg-lum-per-frame/P23_sandwich_varjo_P23_sandwich_2_merged.csv,0.4014251781472684,254.0,8.4751333248582,-0.4480874316939891,206.0,6.8735333264598
120,varjo,sandwich,P3,full,/data/AMPs/second-round/avg-lum-per-frame/P3_sandwich_varjo_P3_sandwich_2022-02-10_10-26-33-331.csv,0.43143812709030094,493.0,16.433317447793133,-0.34734917733089576,447.0,14.899985596680589
121,varjo,sandwich,P3,merged,/data/AMPs/second-round/avg-lum-per-frame/P3_sandwich_varjo_P3_sandwich_2_merged_varjo.csv,0.29840142095914746,292.0,9.743066656923599,-0.46758349705304514,245.0,8.174833325158499
122,varjo,sandwich,P2,full,/data/AMPs/second-round/avg-lum-per-frame/P2_sandwich_varjo_P2_sandwich_2022-02-04_14-01-31-064.csv,0.8555555555555556,377.0,12.56665451890063,-0.554585152838428,333.0,11.099989270010372
123,varjo,sandwich,P2,merged,/data/AMPs/second-round/avg-lum-per-frame/P2_sandwich_varjo_P2_sandwich_2_merged_varjo_2022-02-04_14-01-31-064.csv,0.989010989010989,310.0,10.343666656323,-0.6840277777777778,309.0,10.3102999896897
124,varjo,sandwich,P19,full,/data/AMPs/second-round/avg-lum-per-frame/P19_sandwich_varjo_P19_sandwich_2022-02-11_10-57-49-168.csv,0.927710843373494,8985.0,299.49971048361317,-0.5043103448275862,292.0,9.73332392445354
125,varjo,sandwich,P19,merged,/data/AMPs/second-round/avg-lum-per-frame/P19_sandwich_varjo_P19_sandwich_2_merged_varjo_2022-02-11_10-57-49-168.csv,0.44491525423728806,262.0,8.7420666579246,-0.44171779141104295,170.0,5.672333327661
126,varjo,sandwich,P25,full,/data/AMPs/second-round/avg-lum-per-frame/P25_sandwich_varjo_P25_sandwich_2022-02-09_10-59-14-215.csv,12.75,260.0,8.666658288896986,-0.9269746646795827,179.0,5.966660898894464
127,varjo,sandwich,P25,merged,/data/AMPs/second-round/avg-lum-per-frame/P25_sandwich_varjo_P25_sandwich_2_merged_varjo.csv,0.4756335282651072,198.0,6.6065999933934,-0.610236220472441,117.0,3.9038999960961
128,varjo,sandwich,P6,full,/data/AMPs/second-round/avg-lum-per-frame/P6_sandwich_varjo_P6_sandwich_2022-02-10_14-54-23-822.csv,0.7214765100671141,253.0,8.433325181118992,-0.5603112840466926,183.0,6.099994103339033
129,varjo,sandwich,P6,merged,/data/AMPs/second-round/avg-lum-per-frame/P6_sandwich_varjo_P6_sandwich_2_merged_varjo.csv,0.49433106575963714,242.0,8.074733325258599,-0.4143222506393862,173.0,5.7724333275609
130,varjo,sandwich,P18,full,/data/AMPs/second-round/avg-lum-per-frame/P18_sandwich_varjo_P18_sandwich_2022-02-15_10-30-21-311.csv,1.0463576158940397,253.0,8.433325181118992,-0.6006493506493507,150.0,4.999995166671338
131,varjo,sandwich,P18,merged,/data/AMPs/second-round/avg-lum-per-frame/P18_sandwich_varjo_P18_sandwich_2_merged_varjo.csv,0.6395348837209303,277.0,9.2425666574241,-0.49715909090909094,175.0,5.8391666608275
132,varjo,sandwich,P21,full,/data/AMPs/second-round/avg-lum-per-frame/P21_sandwich_varjo_P21_sandwich-1_2022-02-14_13-48-31-619.csv,inf,12967.0,432.23291550818163,-1.0,12958.0,431.9329157981814
133,varjo,sandwich,P21,merged,/data/AMPs/second-round/avg-lum-per-frame/P21_sandwich_varjo_P21_sandwich_2_merged_varjo.csv,0.9634146341463414,219.0,7.3072999926927,-1.0,21764.0,726.1921326071412
134,varjo,sandwich,P10,full,/data/AMPs/second-round/avg-lum-per-frame/P10_sandwich_varjo_P10_sandwich_2022-01-31_13-22-04-449.csv,inf,774.0,25.799975060024106,-1.0,770.0,25.666641855579538
135,varjo,sandwich,P10,merged,/data/AMPs/second-round/avg-lum-per-frame/P10_sandwich_varjo_P10_sandwich_2_merged.csv,0.2718978102189782,63.0,2.1020999978979,-1.0,15025.0,501.3341661653325
136,varjo,sandwich,P9,full,/data/AMPs/second-round/avg-lum-per-frame/P9_sandwich_varjo_P9_sandwich_2022-02-04_10-17-54-061.csv,1.9322033898305087,273.0,9.099991203341837,-0.655417406749556,163.0,5.433328081116188
137,varjo,sandwich,P9,merged,/data/AMPs/second-round/avg-lum-per-frame/P9_sandwich_varjo_P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.csv,0.8453608247422681,178.0,5.9392666607274,-1.0,11475.0,382.8824996171175
138,varjo,sandwich,P14,full,/data/AMPs/second-round/avg-lum-per-frame/P14_sandwich_varjo_P14_sandwich_2022-02-01_13-55-10-050.csv,1.6270270270270268,382.0,12.733321024456343,-0.5623762376237624,322.0,10.733322957787808
139,varjo,sandwich,P14,merged,/data/AMPs/second-round/avg-lum-per-frame/P14_sandwich_varjo_P14_sandwich_2_merged.csv,0.6275862068965516,382.0,12.7460666539206,-1.0,14837.0,495.0612328382721
140,varjo,sandwich,P24,full,/data/AMPs/second-round/avg-lum-per-frame/P24_sandwich_varjo_P24_sandwich_2022-02-16_09-54-31-530.csv,1.1255605381165918,493.0,16.433317447793133,-0.6208530805687205,417.0,13.89998656334632
141,varjo,sandwich,P24,merged,/data/AMPs/second-round/avg-lum-per-frame/P24_sandwich_varjo_P24_sandwich_2_merged_varjo.csv,0.9216867469879517,364.0,12.145466654521199,-1.0,15532.0,518.2510661484156
142,varjo,sandwich,P5,full,/data/AMPs/second-round/avg-lum-per-frame/P5_sandwich_varjo_P5_sandwich_2022-02-08_10-12-55-026.csv,5.296296296296297,177.0,5.89999429667218,-0.8585858585858586,84.0,2.7999972933359496
143,varjo,sandwich,P5,merged,/data/AMPs/second-round/avg-lum-per-frame/P5_sandwich_varjo_P5_sandwich_2_merged_varjo_2022-02-08_10-12-55-026.csv,0.7592592592592593,117.0,3.9038999960961,-1.0,10098.0,336.93659966306336
